temps_ecoule_s,spectre,longueur_onde_nm,puissance_W
363.339,NIR,975.0,7.497968545840851
363.883,NIR,975.0,7.54300970556977
364.416,NIR,975.0,7.497968545840851
364.926,NIR,973.0,7.4756215720467605
365.484,NIR,973.0,7.483144789108499
366.011,NIR,973.0,7.491328661116567
366.554,NIR,973.0,7.491328661116567
367.088,NIR,973.0,7.508523903320492
367.622,NIR,972.0,7.48715475446563
368.158,NIR,973.0,7.5010006862587515
368.688,NIR,973.0,7.508523903320492
369.225,NIR,975.0,7.5158959160081995
369.769,NIR,973.0,7.4838054440548305
370.305,NIR,973.0,7.4838054440548305
370.832,NIR,973.0,7.4838054440548305
371.393,NIR,975.0,7.505512539181721
371.914,NIR,975.0,7.497968545840851
372.434,NIR,975.0,7.497968545840851
372.974,NIR,975.0,7.55055369891064
373.514,NIR,975.0,7.55055369891064
374.036,NIR,977.0,7.552486086071157
374.58,NIR,975.0,7.54300970556977
375.108,NIR,975.0,7.5354657122289
375.65,NIR,975.0,7.5354657122289
376.184,NIR,975.0,7.482880559159112
376.716,NIR,975.0,7.482880559159112
377.248,NIR,973.0,7.505785198365035
